,overall,AspectJ,Birt,Eclipse_Platform_UI,JDT,SWT,Tomcat
Reformer_Electra_BLDS,0.321,0.323,0.288,0.313,0.332,0.365,0.306
Reformer_Electra_Bench-BLDS,0.329,0.408,0.256,0.351,0.36,0.321,0.279
Reformer_MLM_BLDS,0.168,0.127,0.18,0.172,0.146,0.179,0.206
Reformer_MLM_Bench-BLDS,0.443,0.533,0.337,0.449,0.52,0.415,0.403
Reformer_QA_BLDS,0.46,0.513,0.439,0.455,0.528,0.426,0.399
Reformer_QA_Bench-BLDS,0.257,0.266,0.208,0.249,0.322,0.265,0.234
Roberta_Electra_BLDS,0.354,0.407,0.365,0.354,0.366,0.306,0.326
Roberta_Electra_Bench-BLDS,0.388,0.367,0.284,0.395,0.491,0.398,0.396
Roberta_MLM_BLDS,0.288,0.28,0.25,0.284,0.325,0.334,0.257
Roberta_MLM_Bench-BLDS,0.274,0.24,0.249,0.318,0.231,0.353,0.253
Roberta_QA_BLDS,0.165,0.124,0.173,0.198,0.137,0.168,0.188
Roberta_QA_Bench-BLDS,0.19,0.15,0.186,0.228,0.175,0.191,0.212
