Model Name,Embedding Training Strategy,Training Data (for CNN Model),AspectJ,Birt,Eclipse_Platform_UI,JDT,SWT,Tomcat
Long RoBERTa,Electra,BLDS,0.14,0.19,0.2,0.15,0.2,0.28
Long RoBERTa,Electra,Bench-BLDS,0.43,0.3,0.37,0.5,0.39,0.38
Long RoBERTa,MLM,BLDS,0.14,0.15,0.15,0.14,0.14,0.14
Long RoBERTa,MLM,Bench-BLDS,0.4,0.22,0.25,0.41,0.26,0.28
Long RoBERTa,MLM and QA,BLDS,0.14,0.14,0.14,0.14,0.14,0.14
Long RoBERTa,MLM and QA,Bench-BLDS,0.14,0.14,0.14,0.14,0.14,0.14
Reformer,Electra,BLDS,0.14,0.14,0.14,0.14,0.14,0.14
Reformer,Electra,Bench-BLDS,0.14,0.14,0.14,0.14,0.14,0.14
Reformer,MLM,BLDS,0.15,0.14,0.14,0.14,0.14,0.14
Reformer,MLM,Bench-BLDS,0.14,0.14,0.14,0.15,0.14,0.14
Reformer,MLM and QA,BLDS,0.14,0.14,0.14,0.14,0.14,0.14
Reformer,MLM and QA,Bench-BLDS,0.14,0.14,0.14,0.14,0.14,0.14
